Entrenando Modelo Final...
DEBUG: Cargando 2000 señales desde Prm/mfcc_optimo...
DEBUG: Cargadas 2000 señales. Con etiqueta válida: 2000
DEBUG: Cargando 2000 señales desde Prm/mfcc_optimo...
DEBUG: Cargadas 2000 señales. Con etiqueta válida: 2000
--- Inicio entrenamiento: 400 épocas (17:56:47) ---
  Epo 226: Loss=0.1106 | Acc=95.90%
  Epo 227: Loss=0.1104 | Acc=95.90%
  Epo 228: Loss=0.1101 | Acc=95.90%
  Epo 229: Loss=0.1099 | Acc=95.90%
  Epo 230: Loss=0.1097 | Acc=95.90%
  Epo 231: Loss=0.1095 | Acc=95.90%
  Epo 232: Loss=0.1093 | Acc=95.90%
  Epo 233: Loss=0.1091 | Acc=95.90%
  Epo 234: Loss=0.1089 | Acc=95.90%
  Epo 235: Loss=0.1087 | Acc=95.95%
  Epo 236: Loss=0.1085 | Acc=95.95%
  Epo 237: Loss=0.1083 | Acc=95.95%
  Epo 238: Loss=0.1081 | Acc=95.95%
  Epo 239: Loss=0.1079 | Acc=95.95%
  Epo 240: Loss=0.1077 | Acc=95.95%
  Epo 241: Loss=0.1075 | Acc=95.95%
  Epo 242: Loss=0.1073 | Acc=95.90%
  Epo 243: Loss=0.1071 | Acc=95.90%
  Epo 244: Loss=0.1069 | Acc=95.90%
  Epo 245: Loss=0.1067 | Acc=95.90%
  Epo 246: Loss=0.1065 | Acc=95.90%
  Epo 247: Loss=0.1064 | Acc=95.95%
  Epo 248: Loss=0.1062 | Acc=95.95%
  Epo 249: Loss=0.1060 | Acc=95.95%
  Epo 250: Loss=0.1058 | Acc=95.95%
  Epo 251: Loss=0.1056 | Acc=95.95%
  Epo 252: Loss=0.1055 | Acc=95.95%
  Epo 253: Loss=0.1053 | Acc=95.95%
  Epo 254: Loss=0.1051 | Acc=95.95%
  Epo 255: Loss=0.1050 | Acc=95.90%
  Epo 256: Loss=0.1048 | Acc=95.90%
  Epo 257: Loss=0.1046 | Acc=95.90%
  Epo 258: Loss=0.1045 | Acc=95.90%
  Epo 259: Loss=0.1043 | Acc=95.90%
  Epo 260: Loss=0.1041 | Acc=95.90%
  Epo 261: Loss=0.1040 | Acc=95.95%
  Epo 262: Loss=0.1038 | Acc=95.95%
  Epo 263: Loss=0.1037 | Acc=95.95%
  Epo 264: Loss=0.1035 | Acc=95.95%
  Epo 265: Loss=0.1033 | Acc=95.95%
  Epo 266: Loss=0.1032 | Acc=95.95%
  Epo 267: Loss=0.1030 | Acc=95.95%
  Epo 268: Loss=0.1029 | Acc=95.95%
  Epo 269: Loss=0.1027 | Acc=95.95%
